"Beverage ID";"Retail name";"Retail price";"Hidden Costs";"True Price";"Net Hidden Costs";"Beverage-type";"Salepoint";"Deca";"Milk Type";"Price Excluding Tax";"Value Added Tax";"Smart Value Added Tax";"Smart Pricing rounded";"Offsetting";"Labels"
"Café, décaféiné, Le Klee";"Café (deca)";1.6;0.292;1.89;0.292;"Café";"Le Klee";"True";"none";1.48;0.12;0.057;1.55;0;"none"
"Cappuccino, décaféiné, Le Klee";"Cappuccino (deca)";2.7;0.436;3.14;0.436;"Cappuccino";"Le Klee";"True";"Cow milk";2.498;0.202;0.072;2.7;0;"none"
"Cappuccino, décaféiné, lait d'amande, Le Klee";"Cappuccino (deca)";2.7;0.444;3.14;0.444;"Cappuccino";"Le Klee";"True";"Almond milk";2.498;0.202;0.073;2.7;0;"none"
"Cappuccino, décaféiné, lait d'avoine, Le Klee";"Cappuccino (deca)";2.7;0.338;3.04;0.338;"Cappuccino";"Le Klee";"True";"Oat milk";2.498;0.202;0.062;2.65;0;"eu-organic"
"Cappuccino, décaféiné, lait de soja, Le Klee";"Cappuccino (deca)";2.7;0.474;3.17;0.474;"Cappuccino";"Le Klee";"True";"Soya milk";2.498;0.202;0.076;2.7;0;"none"
"Cappuccino, décaféiné, sans-lactose, Le Klee";"Cappuccino (deca)";2.7;0.436;3.14;0.436;"Cappuccino";"Le Klee";"True";"Cow milk";2.498;0.202;0.072;2.7;0;"none"
"Espresso, décaféiné, Le Klee";"Espresso (deca)";1.6;0.292;1.89;0.292;"Espresso";"Le Klee";"True";"none";1.48;0.12;0.057;1.55;0;"none"
"Latte Macchiato, décaféiné, Le Klee";"Latte Macchiato (deca)";2.7;0.472;3.17;0.472;"Latte Macchiato";"Le Klee";"True";"Cow milk";2.498;0.202;0.076;2.7;0;"none"
"Latte Macchiato, décaféiné, lait d'amande, Le Klee";"Latte Macchiato (deca)";2.7;0.482;3.18;0.482;"Latte Macchiato";"Le Klee";"True";"Almond milk";2.498;0.202;0.077;2.7;0;"none"
"Latte Macchiato, décaféiné, lait d'avoine, Le Klee";"Latte Macchiato (deca)";2.7;0.35;3.05;0.35;"Latte Macchiato";"Le Klee";"True";"Oat milk";2.498;0.202;0.063;2.65;0;"eu-organic"
"Latte Macchiato, décaféiné, lait de soja, Le Klee";"Latte Macchiato (deca)";2.7;0.52;3.22;0.52;"Latte Macchiato";"Le Klee";"True";"Soya milk";2.498;0.202;0.081;2.7;0;"none"
"Latte Macchiato, décaféiné, sans-lactose, Le Klee";"Latte Macchiato (deca)";2.7;0.472;3.17;0.472;"Latte Macchiato";"Le Klee";"True";"Cow milk";2.498;0.202;0.076;2.7;0;"none"
"Renversé, décaféiné, Le Klee";"Renversé (deca)";2.7;0.472;3.17;0.472;"Renversé";"Le Klee";"True";"Cow milk";2.498;0.202;0.076;2.7;0;"none"
"Renversé, décaféiné, lait d'amande, Le Klee";"Renversé (deca)";2.7;0.482;3.18;0.482;"Renversé";"Le Klee";"True";"Almond milk";2.498;0.202;0.077;2.7;0;"none"
"Renversé, décaféiné, lait d'avoine, Le Klee";"Renversé (deca)";2.7;0.35;3.05;0.35;"Renversé";"Le Klee";"True";"Oat milk";2.498;0.202;0.063;2.65;0;"eu-organic"
"Renversé, décaféiné, lait de soja, Le Klee";"Renversé (deca)";2.7;0.52;3.22;0.52;"Renversé";"Le Klee";"True";"Soya milk";2.498;0.202;0.081;2.7;0;"none"
"Renversé, décaféiné, sans-lactose, Le Klee";"Renversé (deca)";2.7;0.472;3.17;0.472;"Renversé";"Le Klee";"True";"Cow milk";2.498;0.202;0.076;2.7;0;"none"
"Ristretto, décaféiné, Le Klee";"Ristretto (deca)";1.6;0.292;1.89;0.292;"Ristretto";"Le Klee";"True";"none";1.48;0.12;0.057;1.55;0;"none"
"Café Blue Planet, Dallmayr";"Café Blue Planet";1.7;0.237;1.67;-0.025;"Café";"Dallmayr";"False";"none";1.573;0.127;0.023;1.6;-0.262;"blue-planet|fairtrade|eu-organic"
"Café Macchiato Blue Planet, Dallmayr";"Café Macchiato Blue Planet";1.8;0.291;1.83;0.029;"Café Macchiato";"Dallmayr";"False";"none";1.665;0.135;0.029;1.7;-0.262;"blue-planet|fairtrade|eu-organic"
"Café Macchiato Via Verde, Dallmayr";"Café Macchiato Via Verde";1.7;0.248;1.82;0.12;"Café Macchiato";"Dallmayr";"False";"none";1.573;0.127;0.039;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Café Via Verde, Dallmayr";"Café Via Verde";1.6;0.194;1.67;0.065;"Café";"Dallmayr";"False";"none";1.48;0.12;0.033;1.55;-0.129;"via-verde|fairtrade|eu-organic"
"Café, Compass Machine";"Café Via Verde";1.5;0.194;1.57;0.065;"Café";"Compass Machine";"False";"none";1.388;0.112;0.033;1.45;-0.129;"via-verde|fairtrade|eu-organic"
"Café, Le Klee";"Café Via Verde";1.6;0.194;1.67;0.065;"Café";"Le Klee";"False";"none";1.48;0.12;0.033;1.55;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino Blue Planet, Dallmayr";"Cappuccino Blue Planet";1.8;0.301;1.84;0.039;"Cappuccino";"Dallmayr";"False";"Cow milk";1.665;0.135;0.03;1.7;-0.262;"blue-planet|fairtrade|eu-organic"
"Cappuccino Vanille Blue Planet, Dallmayr";"Cappuccino Vanille Blue Planet";1.8;0.356;1.89;0.093;"Cappuccino";"Dallmayr";"False";"Cow milk";1.665;0.135;0.036;1.7;-0.262;"blue-planet|fairtrade|eu-organic"
"Cappuccino Vanille Via Verde, Dallmayr";"Cappuccino Vanille Via Verde";1.7;0.313;1.88;0.184;"Cappuccino";"Dallmayr";"False";"Cow milk";1.573;0.127;0.045;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino Via Verde, Dallmayr";"Cappuccino Via Verde";1.7;0.258;1.83;0.13;"Cappuccino";"Dallmayr";"False";"Cow milk";1.573;0.127;0.04;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino, Compass Machine";"Cappuccino Via Verde";2.2;0.258;2.33;0.13;"Cappuccino";"Compass Machine";"False";"Cow milk";2.035;0.165;0.04;2.1;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino, Le Klee";"Cappuccino Via Verde";2.7;0.338;2.91;0.209;"Cappuccino";"Le Klee";"False";"Cow milk";2.498;0.202;0.048;2.6;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino, lait d'amande, Le Klee";"Cappuccino Via Verde";2.7;0.346;2.92;0.217;"Cappuccino";"Le Klee";"False";"Almond milk";2.498;0.202;0.049;2.6;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino, lait d'avoine, Le Klee";"Cappuccino Via Verde";2.7;0.24;2.81;0.111;"Cappuccino";"Le Klee";"False";"Oat milk";2.498;0.202;0.038;2.6;-0.129;"via-verde|fairtrade|eu-organic|eu-organic"
"Cappuccino, lait de soja, Le Klee";"Cappuccino Via Verde";2.7;0.376;2.95;0.248;"Cappuccino";"Le Klee";"False";"Soya milk";2.498;0.202;0.052;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Cappuccino, sans-lactose, Le Klee";"Cappuccino Via Verde";2.7;0.338;2.91;0.209;"Cappuccino";"Le Klee";"False";"Cow milk";2.498;0.202;0.048;2.6;-0.129;"via-verde|fairtrade|eu-organic"
"Chocolait, Dallmayr";"Chocolait";1.7;0.369;2.07;0.369;"Chocolait";"Dallmayr";"False";"Cow milk";1.573;0.127;0.065;1.65;0;"rainforest-alliance"
"Chocolat, Dallmayr";"Chocolat";1.6;0.29;1.89;0.29;"Chocolat";"Dallmayr";"False";"none";1.48;0.12;0.057;1.55;0;"rainforest-alliance"
"Espresso Blue Planet, Dallmayr";"Espresso Blue Planet";1.7;0.237;1.67;-0.025;"Espresso";"Dallmayr";"False";"none";1.573;0.127;0.023;1.6;-0.262;"blue-planet|fairtrade|eu-organic"
"Espresso Macchiato Blue Planet, Dallmayr";"Espresso Macchiato Blue Planet";1.8;0.286;1.82;0.024;"Espresso Macchiato";"Dallmayr";"False";"none";1.665;0.135;0.029;1.7;-0.262;"blue-planet|fairtrade|eu-organic"
"Espresso Macchiato Via Verde, Dallmayr";"Espresso Macchiato Via Verde";1.7;0.243;1.81;0.115;"Espresso Macchiato";"Dallmayr";"False";"none";1.573;0.127;0.038;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Espresso Via Verde, Dallmayr";"Espresso Via Verde";1.6;0.194;1.67;0.065;"Espresso";"Dallmayr";"False";"none";1.48;0.12;0.033;1.55;-0.129;"via-verde|fairtrade|eu-organic"
"Espresso, Compass Machine";"Espresso Via Verde";1.5;0.194;1.57;0.065;"Espresso";"Compass Machine";"False";"none";1.388;0.112;0.033;1.45;-0.129;"via-verde|fairtrade|eu-organic"
"Espresso, Le Klee";"Espresso Via Verde";1.6;0.194;1.67;0.065;"Espresso";"Le Klee";"False";"none";1.48;0.12;0.033;1.55;-0.129;"via-verde|fairtrade|eu-organic"
"Frappé Vanille, Dallmayr";"Frappé Vanille";1.7;0.198;1.9;0.198;"Frappé";"Dallmayr";"False";"Cow milk";1.573;0.127;0.047;1.65;0;"none"
"Latte Macchiato Blue Planet, Dallmayr";"Latte Macchiato Blue Planet";1.8;0.331;1.87;0.069;"Latte Macchiato";"Dallmayr";"False";"Cow milk";1.665;0.135;0.033;1.7;-0.262;"blue-planet|fairtrade|eu-organic"
"Latte Macchiato Vanille Blue Planet, Dallmayr";"Latte Macchiato Vanille Blue Planet";1.8;0.365;1.9;0.103;"Latte Macchiato";"Dallmayr";"False";"Cow milk";1.665;0.135;0.037;1.75;-0.262;"blue-planet|fairtrade|eu-organic"
"Latte Macchiato Vanille Via Verde, Dallmayr";"Latte Macchiato Vanille Via Verde";1.7;0.322;1.89;0.194;"Latte Macchiato";"Dallmayr";"False";"Cow milk";1.573;0.127;0.047;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Latte Macchiato Via Verde, Dallmayr";"Latte Macchiato Via Verde";1.7;0.288;1.86;0.159;"Latte Macchiato";"Dallmayr";"False";"Cow milk";1.573;0.127;0.043;1.65;-0.129;"via-verde|fairtrade|eu-organic"
"Latte Macchiato, Le Klee";"Latte Macchiato Via Verde";2.7;0.374;2.95;0.245;"Latte Macchiato";"Le Klee";"False";"Cow milk";2.498;0.202;0.052;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Latte Macchiato, lait d'amande, Le Klee";"Latte Macchiato Via Verde";2.7;0.384;2.96;0.255;"Latte Macchiato";"Le Klee";"False";"Almond milk";2.498;0.202;0.053;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Latte Macchiato, lait d'avoine, Le Klee";"Latte Macchiato Via Verde";2.7;0.251;2.82;0.123;"Latte Macchiato";"Le Klee";"False";"Oat milk";2.498;0.202;0.039;2.6;-0.129;"via-verde|fairtrade|eu-organic|eu-organic"
"Latte Macchiato, lait de soja, Le Klee";"Latte Macchiato Via Verde";2.7;0.422;2.99;0.293;"Latte Macchiato";"Le Klee";"False";"Soya milk";2.498;0.202;0.057;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Latte Macchiato, sans-lactose, Le Klee";"Latte Macchiato Via Verde";2.7;0.374;2.95;0.245;"Latte Macchiato";"Le Klee";"False";"Cow milk";2.498;0.202;0.052;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Macchiato, Compass Machine";"Macchiato Via Verde";2.2;0.248;2.32;0.12;"Macchiato";"Compass Machine";"False";"Cow milk";2.035;0.165;0.039;2.1;-0.129;"via-verde|fairtrade|eu-organic"
"Mocaccino Blue Planet, Dallmayr";"Mocaccino Blue Planet";1.8;0.456;1.99;0.193;"Mocaccino";"Dallmayr";"False";"Cow milk";1.665;0.135;0.046;1.75;-0.262;"blue-planet|fairtrade|eu-organic|rainforest-alliance"
"Mocaccino Via Verde, Dallmayr";"Mocaccino Via Verde";1.7;0.413;1.98;0.284;"Mocaccino";"Dallmayr";"False";"Cow milk";1.573;0.127;0.056;1.65;-0.129;"via-verde|fairtrade|eu-organic|rainforest-alliance"
"Renversé, Compass Machine";"Renversé Via Verde";2.2;0.248;2.32;0.12;"Renversé";"Compass Machine";"False";"Cow milk";2.035;0.165;0.039;2.1;-0.129;"via-verde|fairtrade|eu-organic"
"Renversé, Le Klee";"Renversé Via Verde";2.7;0.374;2.95;0.245;"Renversé";"Le Klee";"False";"Cow milk";2.498;0.202;0.052;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Renversé, lait d'amande, Le Klee";"Renversé Via Verde";2.7;0.384;2.96;0.255;"Renversé";"Le Klee";"False";"Almond milk";2.498;0.202;0.053;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Renversé, lait d'avoine, Le Klee";"Renversé Via Verde";2.7;0.251;2.82;0.123;"Renversé";"Le Klee";"False";"Oat milk";2.498;0.202;0.039;2.6;-0.129;"via-verde|fairtrade|eu-organic|eu-organic"
"Renversé, lait de soja, Le Klee";"Renversé Via Verde";2.7;0.422;2.99;0.293;"Renversé";"Le Klee";"False";"Soya milk";2.498;0.202;0.057;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Renversé, sans-lactose, Le Klee";"Renversé Via Verde";2.7;0.374;2.95;0.245;"Renversé";"Le Klee";"False";"Cow milk";2.498;0.202;0.052;2.65;-0.129;"via-verde|fairtrade|eu-organic"
"Ristretto, Compass Machine";"Ristretto Via Verde";1.5;0.194;1.57;0.065;"Ristretto";"Compass Machine";"False";"none";1.388;0.112;0.033;1.45;-0.129;"via-verde|fairtrade|eu-organic"
"Ristretto, Le Klee";"Ristretto Via Verde";1.6;0.194;1.67;0.065;"Ristretto";"Le Klee";"False";"none";1.48;0.12;0.033;1.55;-0.129;"via-verde|fairtrade|eu-organic"
