"Beverage ID";"Ingredient";"Stage";"Impact Category";"Indicator";"Unit";"Monetary Value";"Value";"References"
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"1,3-Dichloropropene";"mg/kg";0.000006123344541492639;0.00010999999999999999;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"2,4-D";"mg/kg";0.0000005804605343103233;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"2,4-Db";"mg/kg";0;0;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"2-Phenylphenol";"mg/kg";0.0000003049988282535563;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Abamectin";"mg/kg";0.000013880577994377296;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Acephate";"mg/kg";0.00021484050162408414;0.00010999999999999999;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Acetamiprid";"mg/kg";0.000010599714104797208;0.0011;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Acrinathrin";"mg/kg";0.0000032808638895800884;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Aldrin";"mg/kg";0.00009020973617759952;0.000032999999999999996;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Amitraz";"mg/kg";0;0;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Amitrole";"mg/kg";0.00000846855465515544;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Anilazine";"mg/kg";0.000000058046053431032325;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Blue Planet, Dallmayr";"Cow milk";"Consumption";"Health";"Aramite";"mg/kg";0.000000698702495003167;0.000054999999999999995;"Europeans MRLs of milk, Functional unit: 1kg of cream Misssing data at the country level, EU has been used as a proxy; World Bank, Inflation (annual %), 2024; Sustainability Impact Metrics (a spin-off of Delft University of Technology), Consumer Health: internalities of food in economics and I-eco-costs, 2024; European Central Bank, Eurosystem, US dollar (USD), 2024."
