"Indicator";"Unit";"Monetisation method";"Indicator definition"
"1,3-dichloropropene";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"1,3-dichloropropene [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"2,4-d";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"2,4-d [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"2,4-db";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"2,4-db [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"2-phenylphenol";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"2-phenylphenol [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Aldicarb";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Aldicarb [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Abamectin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Abamectin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Acephate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Acephate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Acetamiprid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Acetamiprid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Acrinathrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Acrinathrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Agricultural land occupation";"m2a";"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.";"Measures the area of land occupied for agriculture over a year, considering impacts on biodiversity, soil quality, and ecosystem services.                                                                                                                                   "
"Aldrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Aldrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Amitraz";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Amitraz [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Amitrole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Amitrole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Anilazine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Anilazine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Aramite";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Aramite [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Asulam";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Asulam [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Atrazine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Atrazine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Azimsulfuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Azimsulfuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Azoxystrobin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Azoxystrobin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Beflubutamid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Beflubutamid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Benalaxyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Benalaxyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Bentazone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Bentazone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Benzovindiflupyr";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Benzovindiflupyr [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Bicyclopyrone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Bicyclopyrone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Biodiversity restoration through reforestation (ethiopia)";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Dallmayr coffee includes an impact offsetting scheme through reforestation in collaboration with the \AB Menschen f\FCr Menschen \BB. The positive impact is quatified using the Eco-Cost of land-use, an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                    "
"Biodiversity restoration through reforestation (kenya)";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Blue planet coffee includes an impact offsetting scheme through reforestation in collaboration with the \AB Eden Reforestation Project \BB. The positive impact is quatified using the Eco-Cost of land-use, an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                   "
"Biodiversity restoration through reforestation (none)";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"No biodiversity offsetting scheme                                                                                                                                                   "
"Biphenyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Biphenyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
