"Beverage ID";"Country";"Ingredient";"Labels";"Stage";"Impact Category";"Indicator";"Unit";"Value";"Monetary Value";"Beverage-type";"product-id";"Product";"Years";"Production Method";"Stage functional unit";"Data quality (country specific)";"Proxy";"Salepoint";"Deca";"Milk Type";"Price Excluding Tax";"Value Added Tax";"Smart Value Added Tax";"Smart Pricing";"Smart Pricing rounded";"Value Unit";"References"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Fine particulate matter formation";"kg PM2.5 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Fossil resource scarcity";"kg oil eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Freshwater ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Freshwater eutrophication";"kg P eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Global warming";"kg CO2 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Human carcinogenic toxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Human non-carcinogenic toxicity";"kg 1,4-DCB";-0;-0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Ionizing radiation";"kBq Co-60 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Land use";"m2a crop eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Marine ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Marine eutrophication";"kg N eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Mineral resource scarcity";"kg Cu eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Ozone formation, Human health";"kg NOx eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Ozone formation, Terrestrial ecosystems";"kg NOx eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Stratospheric ozone depletion";"kg CFC11 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Terrestrial acidification";"kg SO2 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Terrestrial ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Production";"Environment";"Water consumption";"m3";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"yes";"none";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Sugar beet {CH}| production | Cut-off, S - Copied from Ecoinvent; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Fine particulate matter formation";"kg PM2.5 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Fossil resource scarcity";"kg oil eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Freshwater ecotoxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Freshwater eutrophication";"kg P eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Global warming";"kg CO2 eq";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; True Price, Monestisation factors for true pricing (2023); European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Human carcinogenic toxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
"Swiss sugar default";"Switzerland";"Sugarbeet";"none";"Processing, Sugar extraction";"Environment";"Human non-carcinogenic toxicity";"kg 1,4-DCB";0;0;"Sugar";"Swiss sugar";"Sugar";"2021";"conventional";5.56;"no";"France";"Rolex Centre";"False";"none";0;0;0.026;0;0;"USD2023/kg";"Extraction of sugar from beet, processing/FR U Misssing data at the country level, France has been used as a proxy; World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024"
