Beverage ID,Ingredient,Stage,Impact Category,Indicator,Unit,Monetary Value,Value,References
"Café Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Café Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Café Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Café Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Cappuccino Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.030040018e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Cappuccino Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0001176420333301,1.0926161131e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Cappuccino Vanille Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.901612341e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Cappuccino Vanille Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0002171852923017,2.0171374396e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (0)."
"Cappuccino Vanille Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.901612341e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Cappuccino Vanille Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0002171852923017,2.0171374396e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (0)."
