Indicator,Unit,Monetisation method,Indicator definition
"1,3-dichloropropene",mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"1,3-dichloropropene [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
"2,4-d",mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"2,4-d [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
"2,4-db",mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"2,4-db [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
2-phenylphenol,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"2-phenylphenol [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Aldicarb,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Aldicarb [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Abamectin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Abamectin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Acephate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Acephate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Acetamiprid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Acetamiprid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Acrinathrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Acrinathrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Agricultural land occupation,m2a,"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.","Measures The Area Of Land Occupied For Agriculture Over A Year, Considering Impacts On Biodiversity, Soil Quality, And Ecosystem Services.                                                                                                                                   "
Aldrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Aldrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Amitraz,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Amitraz [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Amitrole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Amitrole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Anilazine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Anilazine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Aramite,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Aramite [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Asulam,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Asulam [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Atrazine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Atrazine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Azimsulfuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Azimsulfuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Azoxystrobin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Azoxystrobin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Beflubutamid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Beflubutamid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Benalaxyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Benalaxyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Bentazone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Bentazone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Benzovindiflupyr,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Benzovindiflupyr [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Bicyclopyrone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Bicyclopyrone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Biodiversity restoration through reforestation (ethiopia),m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","Dallmayr Coffee Includes An Impact Offsetting Scheme Through Reforestation In Collaboration With The « Menschen Für Menschen ». The Positive Impact Is Quatified Using The Eco-cost Of Land-use, An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                    "
Biodiversity restoration through reforestation (kenya),m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","Blue Planet Coffee Includes An Impact Offsetting Scheme Through Reforestation In Collaboration With The « Eden Reforestation Project ». The Positive Impact Is Quatified Using The Eco-cost Of Land-use, An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                   "
